Sex,Age,Height,Weight,Activity Level,BMI,Daily Calories,Fiber,Protein,Water,Vitamin C,Vitamin A,Vitamin D,Vitamin E,Vitamin B12,Vitamin K,Niacin,Calcium,Carbs_min (gram),Carbs_max (gram),Fat_min (gram),Fat_max (gram)
1,18.0,152.4,108.0,Sedentary,21.1,1683.0,38.0,42.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,189.0,273.0,47.0,65.0
1,18.0,152.4,110.0,Sedentary,21.5,1708.0,38.0,42.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,192.0,278.0,47.0,66.0
1,18.0,152.4,112.0,Sedentary,21.9,1732.0,38.0,43.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,195.0,281.0,48.0,67.0
1,18.0,152.4,115.0,Sedentary,22.5,1768.0,38.0,44.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,199.0,287.0,49.0,69.0
1,18.0,152.4,117.0,Sedentary,22.9,1792.0,38.0,45.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,202.0,291.0,50.0,70.0
1,18.0,152.4,119.0,Sedentary,23.2,1817.0,38.0,46.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,204.0,295.0,50.0,71.0
1,18.0,152.4,121.0,Sedentary,23.6,1841.0,38.0,47.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,207.0,299.0,51.0,72.0
1,18.0,152.4,123.0,Sedentary,24.0,1865.0,38.0,47.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,210.0,303.0,52.0,73.0
1,18.0,152.4,126.0,Sedentary,24.6,1901.0,38.0,49.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,214.0,309.0,53.0,74.0
1,18.0,152.4,128.0,Sedentary,25.0,1926.0,38.0,49.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,217.0,313.0,54.0,75.0
1,18.0,152.4,130.0,Sedentary,25.4,1950.0,38.0,50.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,219.0,317.0,54.0,76.0
1,18.0,152.4,132.0,Sedentary,25.8,1974.0,38.0,51.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,222.0,321.0,55.0,77.0
1,18.0,152.4,135.0,Sedentary,26.4,2010.0,38.0,52.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,226.0,327.0,56.0,78.0
1,18.0,152.4,137.0,Sedentary,26.8,2035.0,38.0,53.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,229.0,331.0,57.0,79.0
1,18.0,152.4,139.0,Sedentary,27.1,2059.0,38.0,54.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,232.0,335.0,57.0,80.0
1,18.0,152.4,141.0,Sedentary,27.5,2083.0,38.0,54.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,234.0,338.0,58.0,81.0
